gugun,구군명칭,sido,시도종류
1116,강남구,1100,서울특별시
1117,강동구,1100,서울특별시
1124,강북구,1100,서울특별시
1111,강서구,1100,서울특별시
1115,관악구,1100,서울특별시
1123,광진구,1100,서울특별시
1112,구로구,1100,서울특별시
1125,금천구,1100,서울특별시
1122,노원구,1100,서울특별시
1107,도봉구,1100,서울특별시
1105,동대문구,1100,서울특별시
1114,동작구,1100,서울특별시
1110,마포구,1100,서울특별시
1109,서대문구,1100,서울특별시
1119,서초구,1100,서울특별시
1104,성동구,1100,서울특별시
1106,성북구,1100,서울특별시
1118,송파구,1100,서울특별시
1120,양천구,1100,서울특별시
1113,영등포구,1100,서울특별시
1103,용산구,1100,서울특별시
1108,은평구,1100,서울특별시
1101,종로구,1100,서울특별시
1102,중구,1100,서울특별시
1121,중랑구,1100,서울특별시
1212,강서구,1200,부산광역시
1211,금정구,1200,부산광역시
1216,기장군,1200,부산광역시
1207,남구,1200,부산광역시
1203,동구,1200,부산광역시
1206,동래구,1200,부산광역시
1208,북구,1200,부산광역시
1215,사상구,1200,부산광역시
1210,사하구,1200,부산광역시
1202,서구,1200,부산광역시
1214,수영구,1200,부산광역시
1213,연제구,1200,부산광역시
1204,영도구,1200,부산광역시
1201,중구,1200,부산광역시
1205,진구,1200,부산광역시
1209,해운대구,1200,부산광역시
2204,남구,2200,대구광역시
2207,달서구,2200,대구광역시
2208,달성군,2200,대구광역시
2202,동구,2200,대구광역시
2205,북구,2200,대구광역시
2203,서구,2200,대구광역시
2206,수성구,2200,대구광역시
2201,중구,2200,대구광역시
2309,강화군,2300,인천광역시
2308,계양구,2300,인천광역시
2303,미추홀구,2300,인천광역시
2305,남동구,2300,인천광역시
2302,동구,2300,인천광역시
2304,부평구,2300,인천광역시
2306,서구,2300,인천광역시
2307,연수구,2300,인천광역시
2310,옹진군,2300,인천광역시
2301,중구,2300,인천광역시
2404,광산구,2400,광주광역시
2405,남구,2400,광주광역시
2401,동구,2400,광주광역시
2403,북구,2400,광주광역시
2402,서구,2400,광주광역시
2505,대덕구,2500,대전광역시
2501,동구,2500,대전광역시
2503,서구,2500,대전광역시
2504,유성구,2500,대전광역시
2502,중구,2500,대전광역시
2602,남구,2600,울산광역시
2603,동구,2600,울산광역시
2604,북구,2600,울산광역시
2605,울주군,2600,울산광역시
2601,중구,2600,울산광역시
2701,세종특별자치시,2700,세종특별자치시
1322,가평군,1300,경기도
1318,고양시,1300,경기도
1332,과천시,1300,경기도
1309,광명시,1300,경기도
1319,광주시,1300,경기도
1310,구리시,1300,경기도
1333,군포시,1300,경기도
1327,김포시,1300,경기도
1334,남양주시,1300,경기도
1330,동두천시,1300,경기도
1306,부천시,1300,경기도
1303,성남시,1300,경기도
1302,수원시,1300,경기도
1316,시흥시,1300,경기도
1307,안산시,1300,경기도
1326,안성시,1300,경기도
1305,안양시,1300,경기도
1311,양주시,1300,경기도
1323,양평군,1300,경기도
1313,여주시,1300,경기도
1320,연천군,1300,경기도
1335,오산시,1300,경기도
1325,용인시,1300,경기도
1336,의왕시,1300,경기도
1304,의정부시,1300,경기도
1324,이천시,1300,경기도
1317,파주시,1300,경기도
1308,평택시,1300,경기도
1321,포천시,1300,경기도
1337,하남시,1300,경기도
1315,화성시,1300,경기도
1404,강릉시,1400,강원도
1422,고성군,1400,강원도
1403,동해시,1400,강원도
1407,삼척시,1400,강원도
1405,속초시,1400,강원도
1420,양구군,1400,강원도
1423,양양군,1400,강원도
1415,영월군,1400,강원도
1402,원주시,1400,강원도
1421,인제군,1400,강원도
1417,정선군,1400,강원도
1418,철원군,1400,강원도
1401,춘천시,1400,강원도
1406,태백시,1400,강원도
1416,평창군,1400,강원도
1412,홍천군,1400,강원도
1419,화천군,1400,강원도
1413,횡성군,1400,강원도
1516,괴산군,1500,충청북도
1520,단양군,1500,충청북도
1512,보은군,1500,충청북도
1514,영동군,1500,충청북도
1513,옥천군,1500,충청북도
1517,음성군,1500,충청북도
1503,제천시,1500,충청북도
1521,증평군,1500,충청북도
1515,진천군,1500,충청북도
1511,청원군,1500,충청북도
1501,청주시,1500,충청북도
1502,충주시,1500,충청북도
1624,계룡시,1600,충청남도
1605,공주시,1600,충청남도
1611,금산군,1600,충청남도
1615,논산시,1600,충청남도
1623,당진시,1600,충청남도
1604,보령시,1600,충청남도
1616,부여군,1600,충청남도
1606,서산시,1600,충청남도
1617,서천군,1600,충청남도
1603,아산시,1600,충청남도
1613,연기군,1600,충청남도
1621,예산군,1600,충청남도
1602,천안시,1600,충청남도
1619,청양군,1600,충청남도
1612,태안군,1600,충청남도
1620,홍성군,1600,충청남도
1719,고창군,1700,전라북도
1702,군산시,1700,전라북도
1706,김제시,1700,전라북도
1705,남원시,1700,전라북도
1713,무주군,1700,전라북도
1720,부안군,1700,전라북도
1717,순창군,1700,전라북도
1711,완주군,1700,전라북도
1723,익산시,1700,전라북도
1715,임실군,1700,전라북도
1714,장수군,1700,전라북도
1701,전주시,1700,전라북도
1704,정읍시,1700,전라북도
1712,진안군,1700,전라북도
1822,강진군,1800,전라남도
1818,고흥군,1800,전라남도
1813,곡성군,1800,전라남도
1808,광양시,1800,전라남도
1814,구례군,1800,전라남도
1806,나주시,1800,전라남도
1812,담양군,1800,전라남도
1802,목포시,1800,전라남도
1825,무안군,1800,전라남도
1819,보성군,1800,전라남도
1804,순천시,1800,전라남도
1832,신안군,1800,전라남도
1803,여수시,1800,전라남도
1828,영광군,1800,전라남도
1824,영암군,1800,전라남도
1830,완도군,1800,전라남도
1829,장성군,1800,전라남도
1821,장흥군,1800,전라남도
1831,진도군,1800,전라남도
1827,함평군,1800,전라남도
1823,해남군,1800,전라남도
1820,화순군,1800,전라남도
1935,경산시,1900,경상북도
1903,경주시,1900,경상북도
1923,고령군,1900,경상북도
1906,구미시,1900,경상북도
1912,군위군,1900,경상북도
1904,김천시,1900,경상북도
1909,문경시,1900,경상북도
1932,봉화군,1900,경상북도
1910,상주시,1900,경상북도
1924,성주군,1900,경상북도
1905,안동시,1900,경상북도
1917,영덕군,1900,경상북도
1916,영양군,1900,경상북도
1907,영주시,1900,경상북도
1908,영천시,1900,경상북도
1930,예천군,1900,경상북도
1934,울릉군,1900,경상북도
1933,울진군,1900,경상북도
1913,의성군,1900,경상북도
1922,청도군,1900,경상북도
1915,청송군,1900,경상북도
1925,칠곡군,1900,경상북도
1902,포항시,1900,경상북도
2010,거제시,2000,경상남도
2028,거창군,2000,경상남도
2022,고성군,2000,경상남도
2008,김해시,2000,경상남도
2024,남해군,2000,경상남도
2001,마산시,2000,경상남도
2009,밀양시,2000,경상남도
2023,사천시,2000,경상남도
2026,산청군,2000,경상남도
2016,양산시,2000,경상남도
2012,의령군,2000,경상남도
2003,진주시,2000,경상남도
2005,진해시,2000,경상남도
2014,창녕군,2000,경상남도
2004,창원시,2000,경상남도
2030,창원시(통합),2000,경상남도
2006,통영시,2000,경상남도
2025,하동군,2000,경상남도
2013,함안군,2000,경상남도
2027,함양군,2000,경상남도
2029,합천군,2000,경상남도
2102,서귀포시,2100,제주특별자치도
2101,제주시,2100,제주특별자치도